"Id","county","state","total_white_20","hs_white_20","bd_white_20","total_white_notlat_20","hs_white_notlat_20","bc_white_notlat_20","total_black_20","hs_black_20","bc_black_20","total_native_20","hs_native_20","bc_native_20","total_asian_20","hs_asian_20","bc_asian_20","total_nathawaii_20","hs_nathawaii_20","bc_nathawaii_20","total_otheral_20","hs_otheral_20","bc_otheral_20","total_twoother_20","hs_twoother_20","bc_twoother_20","total_latino_20","hs_latino_20","bc_latino_20"
"01001","autauga county"," alabama","29332","26625","8735","28942","26260","8554","6969","5622","1360","115","92","46","417","408","202","24","24","0","230","151","49","773","665","329","810","715","353"
"01003","baldwin county"," alabama","136397","125596","45936","133466","123270","45217","12154","10203","2116","1179","563","42","1361","1018","408","10","10","0","1764","1331","568","2698","2019","566","5461","3753","1313"
"01005","barbour county"," alabama","8960","7111","1610","8809","7049","1601","8001","5689","378","88","72","0","80","62","37","1","0","0","322","114","23","345","252","19","598","265","31"
"01007","bibb county"," alabama","12259","10404","1695","11992","10201","1695","3553","2381","61","12","12","0","56","56","56","0","0","0","9","9","0","98","69","2","321","221","0"
"01009","blount county"," alabama","37888","31596","5070","35853","30870","5049","482","331","8","49","38","0","125","125","83","31","31","0","548","233","83","691","622","32","2692","1050","63"
"01011","bullock county"," alabama","1868","1673","395","1682","1586","395","4738","3396","302","0","0","0","81","0","0","0","0","0","77","2","0","20","13","0","268","87","0"
"01013","butler county"," alabama","7640","6890","1466","7582","6872","1466","5724","4655","634","66","66","7","202","190","98","0","0","0","98","52","0","90","81","0","209","123","22"
"01015","calhoun county"," alabama","60507","51965","12196","59613","51271","12050","14712","12412","2110","235","145","39","677","496","181","306","306","0","1168","724","37","1362","1132","327","2228","1499","207"
"01017","chambers county"," alabama","13983","11889","2394","13770","11825","2394","9091","7155","800","81","61","16","257","241","120","3","0","0","187","141","23","169","144","80","397","202","70"
"01019","cherokee county"," alabama","17924","15010","2351","17809","14925","2314","783","528","108","94","94","0","26","15","9","0","0","0","141","47","0","175","161","8","268","132","37"
"01021","chilton county"," alabama","25484","21116","3576","24951","20838","3539","2880","2565","387","337","85","10","153","109","109","0","0","0","960","539","22","339","254","3","1768","879","62"
"01023","choctaw county"," alabama","5352","4420","838","5321","4404","838","3818","3154","409","7","2","0","25","25","4","0","0","0","11","11","0","50","48","1","42","27","0"
